"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-01","48","55","42"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-02","52","63","40"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-03","52","60",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-04","51","59","48"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-05","46","50",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-06","46","58","39"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-07","51","63","42"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-08","53","60","46"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-09","51","54","47"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-10","50","54",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-11","51",,"48"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-12","49",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-13","45",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-14","40","43",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-15","42",,"37"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-16","48",,"40"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-17","55",,"50"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-18","45",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-19","46","53","37"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-20","52","59","43"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-21","48",,"44"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-22","47",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-23","41","44",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-24","39",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-25","39","45",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-26","38","42","33"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-27","40","43","37"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-28","41",,"34"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-29","42",,"35"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-30","47",,"38"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-01-31","47","56","40"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-01","52","61","39"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-02","56",,"51"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-03","58","65","54"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-04","55",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-05","46",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-06","47",,"42"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-07","49",,"41"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-08","53","63",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-09","51",,"44"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-10","49",,"45"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-11","47",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-12","42",,"39"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-13","46","54","41"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-14","51","58","46"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-15","48",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-16","45","47","44"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-17","45",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-18","46",,"40"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-19","46","53",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-20","47",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-21","49","55","45"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-22","51","57","47"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-23","47",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-24","45",,
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-25","42","47",
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-26","44",,"39"
"TUM00017064","ISTANBUL BOLGE KARTAL, TU","2018-02-27","40",,
